EXECUTION;SIZE;TIME
1;10;0.000057
2;10;0.000038
3;10;0.000045
4;10;0.000042
5;10;0.000026
6;10;0.000025
7;10;0.000025
8;10;0.000026
9;10;0.000042
10;10;0.000024
11;10;0.000039
12;10;0.000041
13;10;0.000041
14;10;0.000025
15;10;0.000043
16;10;0.000038
17;10;0.000043
18;10;0.000042
19;10;0.000034
20;10;0.000036
21;10;0.000044
22;10;0.000036
23;10;0.000038
24;10;0.000036
25;10;0.000045
26;10;0.000043
27;10;0.000045
28;10;0.000025
29;10;0.000037
30;10;0.000042
1;100;0.000054
2;100;0.000033
3;100;0.000062
4;100;0.000031
5;100;0.000032
6;100;0.000057
7;100;0.000054
8;100;0.000057
9;100;0.000070
10;100;0.000062
11;100;0.000075
12;100;0.000063
13;100;0.000042
14;100;0.000063
15;100;0.000062
16;100;0.000060
17;100;0.000059
18;100;0.000054
19;100;0.000067
20;100;0.000064
21;100;0.000059
22;100;0.000054
23;100;0.000061
24;100;0.000054
25;100;0.000067
26;100;0.000053
27;100;0.000095
28;100;0.000053
29;100;0.000068
30;100;0.000060
1;1000;0.000223
2;1000;0.000264
3;1000;0.000235
4;1000;0.000253
5;1000;0.000254
6;1000;0.000231
7;1000;0.000231
8;1000;0.000276
9;1000;0.000229
10;1000;0.000223
11;1000;0.000237
12;1000;0.000226
13;1000;0.000235
14;1000;0.000227
15;1000;0.000225
16;1000;0.000226
17;1000;0.000237
18;1000;0.000226
19;1000;0.000223
20;1000;0.000225
21;1000;0.000226
22;1000;0.000229
23;1000;0.000228
24;1000;0.000226
25;1000;0.000226
26;1000;0.000223
27;1000;0.000267
28;1000;0.000225
29;1000;0.000340
30;1000;0.000223
1;10000;0.002266
2;10000;0.002330
3;10000;0.002410
4;10000;0.002246
5;10000;0.002382
6;10000;0.002320
7;10000;0.002135
8;10000;0.002327
9;10000;0.001298
10;10000;0.002470
11;10000;0.001426
12;10000;0.001997
13;10000;0.002361
14;10000;0.003382
15;10000;0.002391
16;10000;0.002253
17;10000;0.002070
18;10000;0.002294
19;10000;0.002555
20;10000;0.002467
21;10000;0.003178
22;10000;0.002332
23;10000;0.002360
24;10000;0.002477
25;10000;0.002087
26;10000;0.002160
27;10000;0.002502
28;10000;0.002427
29;10000;0.002612
30;10000;0.003339
1;100000;0.016369
2;100000;0.013652
3;100000;0.018028
4;100000;0.013490
5;100000;0.016758
6;100000;0.015709
7;100000;0.017079
8;100000;0.017090
9;100000;0.014240
10;100000;0.013975
11;100000;0.021262
12;100000;0.020861
13;100000;0.017946
14;100000;0.014015
15;100000;0.018232
16;100000;0.020815
17;100000;0.020472
18;100000;0.019884
19;100000;0.020783
20;100000;0.020951
21;100000;0.020161
22;100000;0.019291
23;100000;0.015779
24;100000;0.020917
25;100000;0.021420
26;100000;0.021259
27;100000;0.021014
28;100000;0.022022
29;100000;0.020268
30;100000;0.018939
1;1000000;0.151291
2;1000000;0.161308
3;1000000;0.160277
4;1000000;0.161132
5;1000000;0.158946
6;1000000;0.156326
7;1000000;0.175784
8;1000000;0.168485
9;1000000;0.159054
10;1000000;0.152786
11;1000000;0.161159
12;1000000;0.167349
13;1000000;0.160472
14;1000000;0.158890
15;1000000;0.160325
16;1000000;0.157621
17;1000000;0.149949
18;1000000;0.153202
19;1000000;0.152783
20;1000000;0.149357
21;1000000;0.160361
22;1000000;0.159599
23;1000000;0.151491
24;1000000;0.157911
25;1000000;0.159578
26;1000000;0.161985
27;1000000;0.160053
28;1000000;0.173819
29;1000000;0.154369
30;1000000;0.160425
1;10000000;1.684117
2;10000000;1.623888
3;10000000;1.636317
4;10000000;1.684283
5;10000000;1.671146
6;10000000;1.673647
7;10000000;1.667111
8;10000000;1.657035
9;10000000;1.666919
10;10000000;1.626572
11;10000000;1.618021
12;10000000;1.609314
13;10000000;1.657404
14;10000000;1.627864
15;10000000;1.690798
16;10000000;1.617369
17;10000000;1.587599
18;10000000;1.689339
19;10000000;1.680716
20;10000000;1.644082
21;10000000;1.658997
22;10000000;1.651818
23;10000000;1.643097
24;10000000;1.678412
25;10000000;1.690247
26;10000000;1.678092
27;10000000;1.596128
28;10000000;1.722879
29;10000000;1.685028
30;10000000;1.647090
1;100000000;18.243086
2;100000000;17.807565
3;100000000;18.499644
4;100000000;18.714749
5;
