EXECUTION;SIZE;TIME
1;10;0.000002
2;10;0.000003
3;10;0.000002
4;10;0.000002
5;10;0.000003
6;10;0.000003
7;10;0.000002
8;10;0.000002
9;10;0.000001
10;10;0.000003
11;10;0.000002
12;10;0.000003
13;10;0.000002
14;10;0.000002
15;10;0.000002
16;10;0.000002
17;10;0.000002
18;10;0.000002
19;10;0.000002
20;10;0.000002
21;10;0.000004
22;10;0.000002
23;10;0.000002
24;10;0.000003
25;10;0.000002
26;10;0.000003
27;10;0.000005
28;10;0.000001
29;10;0.000003
30;10;0.000002
1;100;0.000014
2;100;0.000014
3;100;0.000021
4;100;0.000019
5;100;0.000019
6;100;0.000009
7;100;0.000015
8;100;0.000019
9;100;0.000014
10;100;0.000016
11;100;0.000017
12;100;0.000018
13;100;0.000016
14;100;0.000017
15;100;0.000014
16;100;0.000015
17;100;0.000026
18;100;0.000017
19;100;0.000017
20;100;0.000016
21;100;0.000014
22;100;0.000018
23;100;0.000019
24;100;0.000019
25;100;0.000010
26;100;0.000009
27;100;0.000024
28;100;0.000022
29;100;0.000016
30;100;0.000009
1;1000;0.000137
2;1000;0.000141
3;1000;0.000145
4;1000;0.000146
5;1000;0.000138
6;1000;0.000142
7;1000;0.000137
8;1000;0.000137
9;1000;0.000139
10;1000;0.000135
11;1000;0.000175
12;1000;0.000139
13;1000;0.000156
14;1000;0.000202
15;1000;0.000137
16;1000;0.000138
17;1000;0.000139
18;1000;0.000155
19;1000;0.000178
20;1000;0.000156
21;1000;0.000177
22;1000;0.000136
23;1000;0.000178
24;1000;0.000142
25;1000;0.000287
26;1000;0.000137
27;1000;0.000137
28;1000;0.000202
29;1000;0.000136
30;1000;0.000138
1;10000;0.001496
2;10000;0.002327
3;10000;0.002209
4;10000;0.001495
5;10000;0.001726
6;10000;0.001675
7;10000;0.001518
8;10000;0.001581
9;10000;0.001578
10;10000;0.001654
11;10000;0.001719
12;10000;0.001713
13;10000;0.001724
14;10000;0.001553
15;10000;0.001520
16;10000;0.001630
17;10000;0.001486
18;10000;0.001594
19;10000;0.001461
20;10000;0.001491
21;10000;0.001547
22;10000;0.001590
23;10000;0.001459
24;10000;0.001507
25;10000;0.002570
26;10000;0.002690
27;10000;0.001697
28;10000;0.001707
29;10000;0.001736
30;10000;0.001691
1;100000;0.015180
2;100000;0.010567
3;100000;0.010309
4;100000;0.010687
5;100000;0.010648
6;100000;0.010795
7;100000;0.010651
8;100000;0.014139
9;100000;0.015502
10;100000;0.012396
11;100000;0.010389
12;100000;0.010599
13;100000;0.014483
14;100000;0.013156
15;100000;0.012577
16;100000;0.009960
17;100000;0.012740
18;100000;0.013295
19;100000;0.010511
20;100000;0.011748
21;100000;0.011655
22;100000;0.010167
23;100000;0.011966
24;100000;0.013956
25;100000;0.010716
26;100000;0.013707
27;100000;0.012782
28;100000;0.013221
29;100000;0.012707
30;100000;0.013511
1;1000000;0.124088
2;1000000;0.113474
3;1000000;0.112139
4;1000000;0.113370
5;1000000;0.134834
6;1000000;0.114721
7;1000000;0.114130
8;1000000;0.113526
9;1000000;0.118467
10;1000000;0.115317
11;1000000;0.125064
12;1000000;0.114920
13;1000000;0.114798
14;1000000;0.121482
15;1000000;0.117092
16;1000000;0.111846
17;1000000;0.126550
18;1000000;0.113519
19;1000000;0.118830
20;1000000;0.115478
21;1000000;0.114335
22;1000000;0.121618
23;1000000;0.113453
24;1000000;0.113651
25;1000000;0.113145
26;1000000;0.114005
27;1000000;0.116271
28;1000000;0.113630
29;1000000;0.121010
30;1000000;0.113061
1;10000000;1.338729
2;10000000;1.325925
3;10000000;1.327736
4;10000000;1.373571
5;10000000;1.361811
6;10000000;1.336209
7;10000000;1.369150
8;10000000;1.383758
9;10000000;1.372229
10;10000000;1.362189
11;10000000;1.350240
12;10000000;1.367360
13;10000000;1.337170
14;10000000;1.347945
15;10000000;1.342075
16;10000000;1.352299
17;10000000;1.362587
18;10000000;1.340659
19;10000000;1.375539
20;10000000;1.374681
21;10000000;1.361024
22;10000000;1.373367
23;10000000;1.332480
24;10000000;1.352820
25;10000000;1.353060
26;10000000;1.360456
27;10000000;1.363865
28;10000000;1.359821
29;10000000;1.347568
30;10000000;1.343813
1;100000000;15.387098
2;100000000;15.323139
3;100000000;15.053757
4;100000000;14.858865
5;100000000;14.930756
6;100000000;15.147260
7;100000000;15.170085
8;100000000;15.341593
9;100000000;15.399226
10;100000000;15.391941
11;100000000;19.402753
12;100000000;15.253122
13;100000000;15.434211
14;100000000;15.642239
15;100000000;15.347647
16;100000000;15.441509
17;100000000;15.000989
18;100000000;15.345977
19;100000000;15.092276
20;100000000;15.033739
21;100000000;15.239550
22;100000000;15.715266
23;100000000;15.214713
24;100000000;15.315372
25;100000000;14.967440
26;100000000;14.969782
27;100000000;14.989126
28;100000000;15.158023
29;100000000;15.379671
30;100000000;15.393859
